"","RAL","wolb","weight.5.flies","trt","day","PC1","PC2","PC3","Code"
"193","RAL_361","y",1.115,"b","c",-0.6055056132,-10.0253122536,4.8349772209,"6CB"
"194","RAL_361","y",1.042,"b","c",-0.6055056132,-10.0253122536,4.8349772209,"6CB"
"195","RAL_362","y",1.077,"a","a",0.4394888652,1.1756984339,3.4526302784,"1AA"
"197","RAL_362","y",1.039,"a","a",0.4394888652,1.1756984339,3.4526302784,"1AA"
"198","RAL_362","y",1.106,"a","a",0.4394888652,1.1756984339,3.4526302784,"1AA"
"200","RAL_365","n",1.074,"a","c",5.2872363733,7.3802347043,-3.129564986,"5CA"
"201","RAL_365","n",1.255,"b","c",5.2872363733,7.3802347043,-3.129564986,"5CB"
"202","RAL_365","n",1.099,"a","c",5.2872363733,7.3802347043,-3.129564986,"5CA"
"203","RAL_365","n",1.235,"b","c",5.2872363733,7.3802347043,-3.129564986,"5CB"
"204","RAL_365","n",1.253,"b","c",5.2872363733,7.3802347043,-3.129564986,"5CB"
"205","RAL_365","n",1.009,"a","c",5.2872363733,7.3802347043,-3.129564986,"5CA"
"206","RAL_367","n",1.291,"a","c",-1.2328958012,2.0178184811,4.0988960747,"22CA"
"207","RAL_367","n",1.146,"b","c",-1.2328958012,2.0178184811,4.0988960747,"22CB"
"208","RAL_367","n",1.241,"a","c",-1.2328958012,2.0178184811,4.0988960747,"22CA"
"209","RAL_367","n",1.229,"b","c",-1.2328958012,2.0178184811,4.0988960747,"22CB"
"210","RAL_367","n",1.088,"b","c",-1.2328958012,2.0178184811,4.0988960747,"22CB"
"211","RAL_367","n",1.226,"a","c",-1.2328958012,2.0178184811,4.0988960747,"22CA"
"212","RAL_371","n",1.137,"a","a",-0.2693533638,-4.3582448036,10.7323587414,"20AA"
"213","RAL_371","n",1.11,"a","a",-0.2693533638,-4.3582448036,10.7323587414,"20AA"
"214","RAL_373","n",1.242,"b","c",2.6807079524,0.4481875587,2.8404867154,"38CB"
"215","RAL_373","n",1.103,"a","c",2.6807079524,0.4481875587,2.8404867154,"38CA"
"216","RAL_373","n",1.188,"a","c",2.6807079524,0.4481875587,2.8404867154,"38CA"
"217","RAL_373","n",1.121,"a","c",2.6807079524,0.4481875587,2.8404867154,"38CA"
"218","RAL_373","n",1.439,"b","c",2.6807079524,0.4481875587,2.8404867154,"38CB"
"219","RAL_373","n",1.253,"b","c",2.6807079524,0.4481875587,2.8404867154,"38CB"
"220","RAL_374","y",1.135,"b","e",0.1464421972,0.7132055022,0.1691075793,"3EB"
"221","RAL_374","y",1.253,"b","e",0.1464421972,0.7132055022,0.1691075793,"3EB"
"222","RAL_374","y",1.121,"b","e",0.1464421972,0.7132055022,0.1691075793,"3EB"
"223","RAL_374","y",1.07,"a","e",0.1464421972,0.7132055022,0.1691075793,"3EA"
"224","RAL_374","y",1.097,"a","e",0.1464421972,0.7132055022,0.1691075793,"3EA"
"225","RAL_374","y",1.036,"a","e",0.1464421972,0.7132055022,0.1691075793,"3EA"
"226","RAL_38","n",1.047,"a","b",1.4310543918,-0.0121456546,4.2129691741,"1BA"
"227","RAL_38","n",1.089,"a","b",1.4310543918,-0.0121456546,4.2129691741,"1BA"
"228","RAL_38","n",1.234,"b","b",1.4310543918,-0.0121456546,4.2129691741,"1BB"
"229","RAL_38","n",1.222,"b","b",1.4310543918,-0.0121456546,4.2129691741,"1BB"
"230","RAL_38","n",1.108,"a","b",1.4310543918,-0.0121456546,4.2129691741,"1BA"
"231","RAL_38","n",1.252,"b","b",1.4310543918,-0.0121456546,4.2129691741,"1BB"
"232","RAL_380","y",1.128,"b","d",0.4515263223,-0.2827695676,1.3380239421,"27DB"
"233","RAL_380","y",1.102,"b","d",0.4515263223,-0.2827695676,1.3380239421,"27DB"
"234","RAL_380","y",1.15,"b","d",0.4515263223,-0.2827695676,1.3380239421,"27DB"
"235","RAL_381","n",1.335,"b","b",-1.2119973769,1.4955084392,3.4410098905,"9BB"
"236","RAL_381","n",1.363,"a","b",-1.2119973769,1.4955084392,3.4410098905,"9BA"
"237","RAL_381","n",1.326,"a","b",-1.2119973769,1.4955084392,3.4410098905,"9BA"
"238","RAL_381","n",1.348,"a","b",-1.2119973769,1.4955084392,3.4410098905,"9BA"
"239","RAL_381","n",1.274,"b","b",-1.2119973769,1.4955084392,3.4410098905,"9BB"
"240","RAL_381","n",1.328,"b","b",-1.2119973769,1.4955084392,3.4410098905,"9BB"
"241","RAL_385","n",1.347,"b","a",-162.2138749024,4.5654462484,-6.5683544694,"25AB"
"242","RAL_385","n",1.298,"b","a",-162.2138749024,4.5654462484,-6.5683544694,"25AB"
"243","RAL_385","n",1.267,"a","a",-162.2138749024,4.5654462484,-6.5683544694,"25AA"
"244","RAL_385","n",1.314,"a","a",-162.2138749024,4.5654462484,-6.5683544694,"25AA"
"245","RAL_385","n",1.329,"b","a",-162.2138749024,4.5654462484,-6.5683544694,"25AB"
"246","RAL_385","n",1.356,"a","a",-162.2138749024,4.5654462484,-6.5683544694,"25AA"
"247","RAL_386","n",1.307,"a","e",-1.3252294123,-2.1837535764,2.9734652284,"1EA"
"248","RAL_386","n",1.268,"b","e",-1.3252294123,-2.1837535764,2.9734652284,"1EB"
"249","RAL_386","n",1.302,"b","e",-1.3252294123,-2.1837535764,2.9734652284,"1EB"
"250","RAL_386","n",1.373,"a","e",-1.3252294123,-2.1837535764,2.9734652284,"1EA"
"251","RAL_386","n",1.264,"b","e",-1.3252294123,-2.1837535764,2.9734652284,"1EB"
"252","RAL_386","n",1.382,"a","e",-1.3252294123,-2.1837535764,2.9734652284,"1EA"
"253","RAL_392","n",1.019,"b","a",-78.42895249,1.7476116775,-3.1829897135,"3AB"
"254","RAL_392","n",1.03,"b","a",-78.42895249,1.7476116775,-3.1829897135,"3AB"
"255","RAL_392","n",1.111,"a","a",-78.42895249,1.7476116775,-3.1829897135,"3AA"
"256","RAL_392","n",1.212,"a","a",-78.42895249,1.7476116775,-3.1829897135,"3AA"
"257","RAL_392","n",1.014,"b","a",-78.42895249,1.7476116775,-3.1829897135,"3AB"
"258","RAL_392","n",1.11,"a","a",-78.42895249,1.7476116775,-3.1829897135,"3AA"
"259","RAL_399","n",1.247,"b","a",-157.4454345993,3.893868992,-5.7679024846,"6AB"
"260","RAL_399","n",1.236,"b","a",-157.4454345993,3.893868992,-5.7679024846,"6AB"
"261","RAL_399","n",1.3,"b","a",-157.4454345993,3.893868992,-5.7679024846,"6AB"
"262","RAL_405","y",1.163,"a","a",3.8450065896,-2.7627580382,3.7139925629,"19AA"
"263","RAL_405","y",1.096,"b","a",3.8450065896,-2.7627580382,3.7139925629,"19AB"
"264","RAL_405","y",1.154,"a","a",3.8450065896,-2.7627580382,3.7139925629,"19AA"
"265","RAL_405","y",1.097,"b","a",3.8450065896,-2.7627580382,3.7139925629,"19AB"
"266","RAL_405","y",1.186,"a","a",3.8450065896,-2.7627580382,3.7139925629,"19AA"
"267","RAL_409","y",1.132,"a","c",2.9125816364,0.4934023394,0.5955126312,"23CA"
"268","RAL_42","n",1.165,"a","e",-0.7069353675,-1.9276002797,4.6180476974,"20EA"
"269","RAL_42","n",1.3,"b","e",-0.7069353675,-1.9276002797,4.6180476974,"20EB"
"270","RAL_426","n",1.423,"a","a",4.3201033546,-0.2319312271,3.2381556057,"35AA"
"271","RAL_426","n",1.482,"a","a",4.3201033546,-0.2319312271,3.2381556057,"35AA"
"272","RAL_426","n",1.565,"b","a",4.3201033546,-0.2319312271,3.2381556057,"35AB"
"273","RAL_426","n",1.495,"a","a",4.3201033546,-0.2319312271,3.2381556057,"35AA"
"274","RAL_426","n",1.556,"b","a",4.3201033546,-0.2319312271,3.2381556057,"35AB"
"275","RAL_426","n",1.596,"b","a",4.3201033546,-0.2319312271,3.2381556057,"35AB"
"278","RAL_427","n",1.2325,"a","d",1.339232026,-4.2092254192,3.9556370845,"30DA"
"279","RAL_439","n",1.097,"a","b",2.6600869515,-0.4974178165,3.405547238,"36BA"
"280","RAL_439","n",1.026,"a","b",2.6600869515,-0.4974178165,3.405547238,"36BA"
"281","RAL_439","n",0.954,"a","b",2.6600869515,-0.4974178165,3.405547238,"36BA"
"282","RAL_439","n",1.05,"b","b",2.6600869515,-0.4974178165,3.405547238,"36BB"
"283","RAL_439","n",1.124,"b","b",2.6600869515,-0.4974178165,3.405547238,"36BB"
"284","RAL_439","n",1.045,"b","b",2.6600869515,-0.4974178165,3.405547238,"36BB"
"285","RAL_440","y",1.423,"b","d",2.0552538145,-5.8280597683,2.04957,"19DB"
"286","RAL_440","y",1.24,"a","d",2.0552538145,-5.8280597683,2.04957,"19DA"
"287","RAL_440","y",1.37,"a","d",2.0552538145,-5.8280597683,2.04957,"19DA"
"288","RAL_440","y",1.373,"b","d",2.0552538145,-5.8280597683,2.04957,"19DB"
"289","RAL_440","y",1.481,"b","d",2.0552538145,-5.8280597683,2.04957,"19DB"
"290","RAL_440","y",1.436,"a","d",2.0552538145,-5.8280597683,2.04957,"19DA"
"291","RAL_441","y",1.231,"a","b",2.4542271478,-2.4390887589,3.1829962186,"25BA"
"292","RAL_441","y",1.292,"b","b",2.4542271478,-2.4390887589,3.1829962186,"25BB"
"293","RAL_441","y",1.378,"b","b",2.4542271478,-2.4390887589,3.1829962186,"25BB"
"294","RAL_441","y",1.232,"a","b",2.4542271478,-2.4390887589,3.1829962186,"25BA"
"295","RAL_441","y",1.263,"b","b",2.4542271478,-2.4390887589,3.1829962186,"25BB"
"296","RAL_443","n",1.368,"b","a",2.3698280947,-2.1200837163,2.6614152538,"12AB"
"297","RAL_443","n",1.394,"b","a",2.3698280947,-2.1200837163,2.6614152538,"12AB"
