dgrpline,stage,rep,n,alive,s_male,s_female,dead,prop_alive,f_male,f_female
357,A,2,18,1,9,9,17,0.055555556,0,1
357,A,3,17,1,10,7,16,0.058823529,0,1
357,A,4,20,5,10,10,15,0.25,0,5
357,A,5,16,7,7,9,9,0.4375,2,5
358,A,1,20,2,10,10,18,0.1,0,2
358,A,2,20,1,10,10,19,0.05,0,1
358,A,3,20,0,10,10,20,0,0,0
358,A,4,20,3,10,10,17,0.15,0,3
358,A,5,20,0,10,10,20,0,0,0
360,A,1,20,0,10,10,20,0,0,0
360,A,2,20,5,10,10,15,0.25,0,5
360,A,3,20,7,10,10,13,0.35,0,7
360,A,4,20,8,10,10,12,0.4,0,8
360,A,5,20,4,10,10,16,0.2,0,4
362,A,1,19,13,9,10,6,0.684210526,3,10
362,A,2,18,10,9,9,8,0.555555556,1,9
362,A,3,20,6,10,10,14,0.3,0,6
362,A,4,19,5,10,9,14,0.263157895,0,5
362,A,5,19,0,9,10,19,0,0,0
365,A,1,18,5,9,9,13,0.277777778,2,3
365,A,2,20,6,10,10,14,0.3,1,5
365,A,3,18,6,9,9,12,0.333333333,1,5
365,A,4,20,6,10,10,14,0.3,0,6
365,A,5,20,0,10,10,20,0,0,0
375,A,1,20,18,10,10,2,0.9,8,10
375,A,2,18,14,8,10,4,0.777777778,4,10
375,A,3,20,6,10,10,14,0.3,2,4
375,A,4,20,13,10,10,7,0.65,6,7
375,A,5,20,18,10,10,2,0.9,9,9
380,A,1,18,8,9,9,10,0.444444444,2,6
380,A,2,20,8,10,10,12,0.4,0,8
380,A,3,10,1,5,5,9,0.1,0,1
380,A,4,12,1,5,7,11,0.083333333,0,1
380,A,5,20,6,10,10,14,0.3,0,6
391,A,1,20,8,10,10,12,0.4,0,8
391,A,2,16,6,8,8,10,0.375,0,6
391,A,3,15,8,9,6,7,0.533333333,4,4
391,A,4,20,5,10,10,15,0.25,0,5
391,A,5,20,1,10,10,19,0.05,0,1
399,A,1,19,4,10,9,15,0.210526316,0,4
399,A,2,20,2,10,10,18,0.1,2,0
399,A,3,20,1,10,10,19,0.05,1,0
399,A,4,20,4,10,10,16,0.2,0,4
399,A,5,18,0,8,10,18,0,0,0
427,A,1,19,9,10,9,10,0.473684211,3,6
427,A,2,18,3,9,9,15,0.166666667,0,3
427,A,3,20,9,10,10,11,0.45,1,8
427,A,4,20,10,10,10,10,0.5,2,8
427,A,5,20,8,10,10,12,0.4,0,8
437,A,1,14,0,7,7,14,0,0,0
437,A,2,20,3,10,10,17,0.15,0,3
437,A,3,20,0,10,10,20,0,0,0
437,A,4,20,0,10,10,20,0,0,0
437,A,5,20,1,10,10,19,0.05,1,0
441,A,1,18,18,8,10,0,1,8,10
441,A,2,20,14,10,10,6,0.7,5,9
441,A,3,20,14,10,10,6,0.7,4,10
441,A,4,20,15,10,10,5,0.75,5,10
441,A,5,20,1,10,10,19,0.05,0,1
486,A,1,20,13,10,10,7,0.65,3,10
486,A,2,20,6,10,10,14,0.3,1,5
486,A,3,20,7,10,10,13,0.35,1,6
486,A,4,20,6,10,10,14,0.3,1,5
486,A,5,20,2,10,10,18,0.1,0,2
517,A,1,19,0,9,10,19,0,0,0
517,A,2,20,0,10,10,20,0,0,0
517,A,3,18,0,9,9,18,0,0,0
517,A,4,20,2,10,10,18,0.1,1,1
517,A,5,20,0,10,10,20,0,0,0
555,A,1,20,0,10,10,20,0,0,0
555,A,2,20,0,10,10,20,0,0,0
555,A,3,17,1,7,10,16,0.058823529,1,0
555,A,4,17,0,7,10,17,0,0,0
555,A,5,20,0,10,10,20,0,0,0
705,A,1,20,20,10,10,0,1,10,10
705,A,2,18,11,8,10,7,0.611111111,2,9
705,A,3,20,14,10,10,6,0.7,4,10
705,A,4,20,17,10,10,3,0.85,8,9
705,A,5,20,3,10,10,17,0.15,1,2
707,A,1,20,4,10,10,16,0.2,0,4
707,A,2,20,1,10,10,19,0.05,0,1
707,A,3,20,1,10,10,19,0.05,0,1
707,A,4,20,1,10,10,19,0.05,0,1
707,A,5,20,0,10,10,20,0,0,0
712,A,1,20,5,10,10,15,0.25,3,2
712,A,2,20,0,10,10,20,0,0,0
712,A,3,20,0,10,10,20,0,0,0
712,A,4,20,1,10,10,19,0.05,0,1
712,A,5,20,3,10,10,17,0.15,0,3
714,A,1,18,4,9,9,14,0.222222222,0,4
714,A,2,20,0,10,10,20,0,0,0
714,A,3,20,0,10,10,20,0,0,0
714,A,4,20,0,10,10,20,0,0,0
714,A,5,20,0,10,10,20,0,0,0
730,A,1,20,11,10,10,9,0.55,2,9
730,A,2,20,5,10,10,15,0.25,0,5
