line,Trait,trait_value
517,T1.leg.length.f,239.43498472954303
535,T1.leg.length.f,238.63637171935014
555,T1.leg.length.f,236.8853507307215
57,T1.leg.length.f,235.9876161269844
589,T1.leg.length.f,239.8493942567306
59,T1.leg.length.f,238.19332033973387
639,T1.leg.length.f,237.0723890642671
642,T1.leg.length.f,237.0794731365007
646,T1.leg.length.f,239.90546509359947
69,T1.leg.length.f,239.8748998094997
705,T1.leg.length.f,238.27144831036617
707,T1.leg.length.f,239.31200927817736
712,T1.leg.length.f,236.43434221854235
714,T1.leg.length.f,237.80914715156035
73,T1.leg.length.f,239.2913882895939
730,T1.leg.length.f,240.8647603662903
732,T1.leg.length.f,239.09580344433854
737,T1.leg.length.f,236.54325137494496
75,T1.leg.length.f,239.82567841038409
757,T1.leg.length.f,238.12591786737553
765,T1.leg.length.f,240.31284854152844
774,T1.leg.length.f,238.0052806701073
783,T1.leg.length.f,236.3951901746444
786,T1.leg.length.f,236.63699728285013
787,T1.leg.length.f,236.35365688488565
796,T1.leg.length.f,239.54887335353544
799,T1.leg.length.f,237.6183350267377
801,T1.leg.length.f,241.92639756770717
802,T1.leg.length.f,241.70120732166177
805,T1.leg.length.f,240.69472358780814
808,T1.leg.length.f,238.87130821604654
812,T1.leg.length.f,243.438968399533
818,T1.leg.length.f,240.71649621601932
820,T1.leg.length.f,238.4772681528554
837,T1.leg.length.f,239.01491773658591
85,T1.leg.length.f,240.40159006986653
852,T1.leg.length.f,240.9441929880416
855,T1.leg.length.f,236.9701436055853
857,T1.leg.length.f,239.13767017074264
859,T1.leg.length.f,235.99395460010362
861,T1.leg.length.f,237.3588938114288
879,T1.leg.length.f,236.4459920937402
88,T1.leg.length.f,234.03553073179054
890,T1.leg.length.f,238.66196278741478
892,T1.leg.length.f,239.24245201596477
894,T1.leg.length.f,241.1119078355878
91,T1.leg.length.f,234.79812555828826
93,T1.leg.length.f,242.87046292969742
101,T1.leg.length.m,234.18527109479385
105,T1.leg.length.m,233.56239307136383
109,T1.leg.length.m,233.492164850825
129,T1.leg.length.m,234.3089429186988
136,T1.leg.length.m,239.77706734063165
138,T1.leg.length.m,234.99515789564458
142,T1.leg.length.m,237.90939387277936
149,T1.leg.length.m,231.68382135542856
153,T1.leg.length.m,238.5886798319423
158,T1.leg.length.m,234.78357289379983
161,T1.leg.length.m,234.4573519788
176,T1.leg.length.m,230.87624687329094
177,T1.leg.length.m,233.71890696279578
181,T1.leg.length.m,232.35891963431868
195,T1.leg.length.m,236.2817952932636
208,T1.leg.length.m,229.25956847715108
21,T1.leg.length.m,233.88811832591756
217,T1.leg.length.m,233.20083483637808
227,T1.leg.length.m,233.03912494937916
228,T1.leg.length.m,236.27475744775342
229,T1.leg.length.m,233.9269446978609
233,T1.leg.length.m,235.55999509112468
235,T1.leg.length.m,236.43880930524017
237,T1.leg.length.m,234.80841852469982
239,T1.leg.length.m,234.49485031008507
256,T1.leg.length.m,238.21540024257456
26,T1.leg.length.m,233.40294929030662
28,T1.leg.length.m,236.09030455547958
280,T1.leg.length.m,235.80898149806762
287,T1.leg.length.m,233.43336541797393
310,T1.leg.length.m,234.07871495334615
313,T1.leg.length.m,235.2198735257945
318,T1.leg.length.m,235.29607425416037
320,T1.leg.length.m,236.11528878554404
325,T1.leg.length.m,236.7007203562032
338,T1.leg.length.m,235.69832826154703
350,T1.leg.length.m,233.0820368033461
352,T1.leg.length.m,231.56090193863434
356,T1.leg.length.m,232.15566646803674
357,T1.leg.length.m,232.45917730814838
358,T1.leg.length.m,233.3191151426794
359,T1.leg.length.m,235.04169099746397
362,T1.leg.length.m,232.46885905226574
365,T1.leg.length.m,232.18204258154722
367,T1.leg.length.m,235.20205712377089
371,T1.leg.length.m,237.7533850816598
373,T1.leg.length.m,237.65108570378996
375,T1.leg.length.m,236.9210114054195
377,T1.leg.length.m,234.68476006792588
379,T1.leg.length.m,233.9322787073063
380,T1.leg.length.m,231.19520893877058
383,T1.leg.length.m,234.77100415472728
386,T1.leg.length.m,232.4930851440742
391,T1.leg.length.m,235.7934935561788
392,T1.leg.length.m,235.29009840630715
399,T1.leg.length.m,234.2407325713296
405,T1.leg.length.m,232.24568008438573
406,T1.leg.length.m,233.54139230771457
409,T1.leg.length.m,234.13849588661992
41,T1.leg.length.m,233.5457327614296
42,T1.leg.length.m,235.454112134823
427,T1.leg.length.m,237.12389184397688
437,T1.leg.length.m,232.37792443493692
439,T1.leg.length.m,234.5843272858901
440,T1.leg.length.m,236.01593997504642
45,T1.leg.length.m,235.10616175533698
49,T1.leg.length.m,236.65594429345384
492,T1.leg.length.m,236.76330861314398
513,T1.leg.length.m,230.2596280769486
517,T1.leg.length.m,235.60405510897692
535,T1.leg.length.m,233.77103922881446
555,T1.leg.length.m,233.3434681872433
57,T1.leg.length.m,231.10315612364383
589,T1.leg.length.m,236.32853879211362
59,T1.leg.length.m,234.3458524120827
639,T1.leg.length.m,233.49804237141288
642,T1.leg.length.m,232.43967743708384
646,T1.leg.length.m,234.60118025007847
69,T1.leg.length.m,235.16621032925266
705,T1.leg.length.m,234.3924100885464
707,T1.leg.length.m,235.0684816438462
712,T1.leg.length.m,231.89743738772344
714,T1.leg.length.m,233.51642863387173
73,T1.leg.length.m,233.6422207280834
730,T1.leg.length.m,236.196192903353
732,T1.leg.length.m,234.2916671700837
737,T1.leg.length.m,232.44038090137323
75,T1.leg.length.m,235.076508731707
757,T1.leg.length.m,234.3815278930446
765,T1.leg.length.m,236.2843657502524
774,T1.leg.length.m,233.87243550535044
783,T1.leg.length.m,232.97325603078755
786,T1.leg.length.m,232.98521364179086
787,T1.leg.length.m,232.8810479411025
796,T1.leg.length.m,235.55725038964707
799,T1.leg.length.m,234.61177729254376
801,T1.leg.length.m,237.65562692406587
