Genotype,date,learning,observer,PreEA,PreC,PostEA,PostC,pre_tot,post_tot,learning.score
335/,5/2/12,S,EN,24,11,9,10,35,19,0.212030075
335/,7/5/12,S,LP,22,17,20,10,39,30,-0.102564103
336/,10/18/12,L,NG,25,22,16,13,47,29,-0.019809244
336/,2/13/13,L,KA,30,10,6,7,40,13,0.288461538
336/,4/1/13,L,KL,40,9,14,10,49,24,0.232993197
336/,4/18/13,L,MB,26,12,15,14,38,29,0.166969147
336/,10/5/12,S,EN,15,7,8,9,22,17,0.211229947
336/,2/12/13,S,MB,24,12,12,10,36,22,0.121212121
336/,4/1/13,S,KL,34,11,7,10,45,17,0.34379085
336/,4/2/13,S,MB,24,19,8,18,43,26,0.250447227
336/,4/16/13,S,MB,35,9,18,15,44,33,0.25
336/,4/18/13,S,MB,31,15,19,10,46,29,0.01874063
336/,5/2/13,S,LT,28,17,21,11,45,32,-0.034027778
338/,9/25/12,L,NG,25,24,20,13,49,33,-0.095856524
338/,3/28/13,L,MB,33,10,16,20,43,36,0.322997416
338/,5/20/13,L,AR,32,14,29,6,46,35,-0.132919255
338/,4/26/12,S,LP,29,15,16,13,44,29,0.107366771
338/,9/25/12,S,NG,25,23,11,23,48,34,0.197303922
338/,9/27/12,S,NG,26,16,7,13,42,20,0.269047619
338/,9/28/12,S,EN,23,18,13,19,41,32,0.15472561
338/,3/28/13,S,MB,22,10,16,17,32,33,0.202651515
340/,10/25/12,L,NG,29,16,17,22,45,39,0.208547009
340/,6/17/13,L,SL,36,5,13,17,41,30,0.444715447
340/,6/21/13,L,AN,30,11,23,16,41,39,0.141963727
340/,9/18/12,S,NG,27,20,20,19,47,39,0.061647572
340/,10/26/12,S,EN,22,18,25,7,40,32,-0.23125
340/,6/17/13,S,SL,22,19,17,10,41,27,-0.093044264
340/,6/21/13,S,AN,26,17,25,19,43,44,0.036469345
352/,10/10/12,L,NG,30,14,9,3,44,12,-0.068181818
352/,6/17/13,L,SL,30,13,9,9,43,18,0.197674419
352/,6/25/13,L,MK,25,13,16,15,38,31,0.141765705
352/,10/10/12,S,JZ,17,26,7,13,43,20,0.045348837
352/,6/17/13,S,SL,20,15,14,12,35,26,0.032967033
352/,6/25/13,S,MK,28,13,15,10,41,25,0.082926829
356/,4/26/13,L,EN,19,11,13,14,30,27,0.151851852
356/,5/14/13,L,SL,27,13,14,18,40,32,0.2375
356/,5/22/13,L,AR,21,10,11,12,31,23,0.199158485
356/,5/24/13,L,JG,20,19,16,14,39,30,-0.020512821
356/,4/1/13,S,KL,15,24,8,10,39,18,-0.05982906
356/,4/12/13,S,KL,22,19,13,11,41,24,-0.005081301
356/,4/26/13,S,EN,17,8,12,12,25,24,0.18
356/,5/22/13,S,AR,23,16,20,13,39,33,-0.016317016
357/,10/16/12,L,NG,27,19,13,32,46,45,0.298067633
357/,6/13/13,L,SF,31,16,15,27,47,42,0.302431611
