line,Sex,rep,Proportion_alive
852,Male,5,0.71428571
853,Male,1,1
853,Male,2,1
853,Male,3,0.9
853,Male,4,1
853,Male,5,0.8
857,Male,1,1
857,Male,2,0.4
857,Male,3,0.4
857,Male,4,0.2
857,Male,5,0.1
859,Male,1,0.88888889
859,Male,2,1
859,Male,3,0.71428571
859,Male,4,1
882,Male,1,0
882,Male,2,0.3
882,Male,3,0.33333333
882,Male,4,0
882,Male,5,0.2
884,Male,1,1
884,Male,2,1
884,Male,3,0.9
884,Male,4,1
884,Male,5,0.88888889
892,Male,1,0.88888889
892,Male,2,1
892,Male,3,0.875
892,Male,4,0.57142857
897,Male,1,1
897,Male,2,1
897,Male,3,1
897,Male,4,0.9
897,Male,5,1
900,Male,1,0.77777778
900,Male,2,1
900,Male,3,1
900,Male,4,1
900,Male,5,0.9
907,Male,1,1
907,Male,2,1
907,Male,3,1
907,Male,4,1
907,Male,5,1
908,Male,1,0.16666667
908,Male,2,0.33333333
908,Male,3,0.83333333
908,Male,4,0
911,Male,1,1
911,Male,2,1
911,Male,3,0.7
911,Male,4,0.5
911,Male,5,0.8
913,Male,1,0.33333333
913,Male,2,0.66666667
913,Male,3,0.4
913,Male,4,0.3
913,Male,5,0.36363636
