ID,MappingPanel,line,Genotype Bloomington,RepVial,CaffeineResistance
29141,DGRP,138,28143,1,70
29142,DGRP,138,28143,1,60.18333333
29143,DGRP,138,28143,1,53.03333333
29144,DGRP,138,28143,1,48.68333333
29145,DGRP,138,28143,1,76.05
29146,DGRP,138,28143,1,74.48333333
29147,DGRP,138,28143,1,63.16666667
29148,DGRP,138,28143,1,73.86666667
29149,DGRP,138,28143,1,48.51666667
29150,DGRP,138,28143,1,49.8
29151,DGRP,138,28143,1,39.06666667
29152,DGRP,138,28143,1,59.61666667
29153,DGRP,142,28144,1,84.93333333
29154,DGRP,142,28144,1,59.65
29155,DGRP,142,28144,1,85.18333333
29156,DGRP,142,28144,1,96.88333333
29157,DGRP,142,28144,1,64.88333333
29158,DGRP,142,28144,1,77.8
29159,DGRP,142,28144,1,84.56666667
29160,DGRP,142,28144,1,34.71666667
29161,DGRP,142,28144,1,99.1
29162,DGRP,142,28144,1,41.86666667
29163,DGRP,142,28144,1,79.8
29164,DGRP,142,28144,1,75.53333333
29165,DGRP,142,28144,1,43.48333333
29166,DGRP,142,28144,1,61.78333333
29167,DGRP,142,28144,1,45.56666667
29168,DGRP,142,28144,1,38.45
29169,DGRP,142,28144,2,73.1
29170,DGRP,142,28144,2,82.51666667
29171,DGRP,142,28144,2,54.75
29172,DGRP,142,28144,2,87.66666667
29173,DGRP,142,28144,2,67.78333333
29174,DGRP,142,28144,2,78.65
29175,DGRP,142,28144,2,96.33333333
29176,DGRP,142,28144,2,85.91666667
29177,DGRP,142,28144,2,81.76666667
29178,DGRP,142,28144,2,71.61666667
29179,DGRP,142,28144,2,78.63333333
29180,DGRP,142,28144,2,71.23333333
29181,DGRP,149,28145,1,71.91666667
29182,DGRP,149,28145,1,60.08333333
29183,DGRP,149,28145,1,71.48333333
29184,DGRP,149,28145,1,56.45
29185,DGRP,149,28145,1,42.55
29186,DGRP,149,28145,1,56.21666667
29187,DGRP,149,28145,1,51.56666667
29188,DGRP,149,28145,1,56.43333333
29189,DGRP,149,28145,1,66.11666667
29190,DGRP,149,28145,1,67.23333333
29191,DGRP,149,28145,1,55.56666667
29192,DGRP,149,28145,1,47.33333333
29193,DGRP,149,28145,1,65.65
29194,DGRP,149,28145,1,56.5
29195,DGRP,149,28145,1,61.45
29196,DGRP,149,28145,1,56.05
29197,DGRP,153,28146,1,23.1
29198,DGRP,153,28146,1,85.7
29199,DGRP,153,28146,1,75.15
29200,DGRP,153,28146,1,60.23333333
29201,DGRP,153,28146,1,52.46666667
29202,DGRP,153,28146,1,55.15
29203,DGRP,153,28146,1,30.05
29204,DGRP,153,28146,1,54.71666667
29205,DGRP,153,28146,1,75.06666667
29206,DGRP,153,28146,1,32.45
29207,DGRP,153,28146,1,53.41666667
29208,DGRP,153,28146,1,59.03333333
29209,DGRP,153,28146,1,63.11666667
29210,DGRP,153,28146,1,64.81666667
29211,DGRP,153,28146,1,54.2
29212,DGRP,153,28146,1,46.31666667
29213,DGRP,158,28147,1,64.2
29214,DGRP,158,28147,1,84.91666667
29215,DGRP,158,28147,1,50.66666667
29216,DGRP,158,28147,1,42.88333333
29217,DGRP,158,28147,1,39
