line,life-span (hr) on 1.5% boric acid
RAL161,18.86666667
RAL161,28.35
RAL161,17.36666667
RAL161,23.7
RAL161,18.53333333
RAL176,51.63333333
RAL176,53.81666667
RAL176,50.95
RAL176,47.78333333
RAL176,40.66666667
RAL176,53.65
RAL176,37.16666667
RAL176,45.58333333
RAL176,49.21666667
RAL176,41.05
RAL176,39.38333333
RAL176,26.23333333
RAL176,48.31666667
RAL176,33.66666667
RAL176,36.1
RAL176,52.4
RAL177,60.73333333
RAL177,35.45
RAL177,26.05
RAL177,99.16666667
RAL177,51.61666667
RAL177,15.3
RAL177,82.38333333
RAL177,40.1
RAL177,93.01666667
RAL177,20.46666667
RAL177,49.71666667
RAL177,66.63333333
RAL177,32.15
RAL177,96.38333333
RAL177,48.21666667
RAL177,18.66666667
RAL181,32.38333333
RAL181,27.86666667
RAL181,29.45
RAL181,32.51666667
RAL181,47.45
RAL181,27.75
RAL181,36.48333333
RAL181,35.46666667
RAL181,36.75
RAL181,38.56666667
RAL181,31.26666667
RAL181,27.68333333
RAL181,28.36666667
RAL181,17.11666667
RAL181,50.41666667
RAL181,25.73333333
RAL189,39.18333333
RAL189,31.83333333
RAL189,36.23333333
RAL189,27.35
RAL189,36.16666667
RAL189,29.45
RAL189,21.61666667
RAL189,31.26666667
RAL189,46.53333333
RAL189,29.38333333
RAL189,39.33333333
RAL189,29.53333333
RAL189,28.83333333
RAL189,39.65
RAL189,38.48333333
RAL195,49.68333333
RAL195,36.56666667
RAL195,42.56666667
RAL195,27.75
RAL195,42.5
RAL195,36.5
RAL195,45.18333333
RAL195,47.63333333
RAL195,43.26666667
RAL195,46.08333333
RAL195,33.85
RAL195,40.93333333
RAL195,24.56666667
RAL195,36.8
RAL195,41.25
RAL195,42.36666667
RAL217,54.58333333
RAL217,40.6
RAL217,36.1
RAL217,38.08333333
RAL217,52.51666667
RAL217,47.15
RAL217,28.38333333
RAL217,54.98333333
RAL217,35.01666667
RAL217,22.46666667
RAL217,24.06666667
RAL217,32.3
RAL217,57.26666667
RAL217,38.4
RAL217,42.2
RAL217,40.05
RAL223,47.2
RAL223,56.16666667
RAL223,26.86666667
RAL223,49.06666667
RAL223,33.25
RAL223,46.38333333
RAL223,44.48333333
RAL223,61.85
RAL223,55.53333333
RAL223,47.45
RAL223,59.9
RAL223,32.4
RAL223,63.65
RAL223,34.23333333
RAL223,53.7
RAL223,31.98333333
RAL227,64.38333333
RAL227,42.5
RAL227,56.73333333
RAL227,40.1
RAL227,57.63333333
RAL227,31.98333333
RAL227,33.1
RAL227,32.61666667
RAL227,72.91666667
RAL227,26.08333333
RAL227,49.73333333
RAL227,58.3
RAL227,51.51666667
RAL227,33.53333333
RAL227,44.48333333
RAL227,45.23333333
RAL237,26.05
RAL237,37.4
RAL237,52.16666667
RAL237,33.8
RAL237,58.2
RAL237,40.81666667
RAL237,26.5
RAL237,22.46666667
RAL237,66.43333333
RAL237,19.23333333
RAL237,46.13333333
RAL237,49.58333333
RAL237,27.65
RAL237,30.43333333
RAL237,38.93333333
RAL237,25.58333333
RAL239,20.25
RAL239,19.13333333
RAL239,24.05
RAL239,19.63333333
RAL239,40.6
RAL239,53.9
RAL239,21.28333333
RAL239,24.41666667
RAL239,30.7
RAL239,30.15
RAL239,22.6
RAL239,29.8
RAL239,81.65
RAL239,38.46666667
RAL239,58.88333333
RAL239,45.8
RAL256,34.06666667
RAL256,36.2
RAL256,36.2
RAL256,30.31666667
RAL256,46.26666667
RAL256,31.05
RAL256,36.23333333
RAL256,36.28333333
RAL256,35.35
RAL256,41.38333333
RAL256,31.61666667
RAL256,29.15
RAL256,30.8
RAL256,45.45
RAL256,29.21666667
RAL256,35.68333333
RAL309,24.18333333
RAL309,26.01666667
RAL309,32.11666667
RAL309,38.31666667
RAL309,26.36666667
RAL309,25.91666667
RAL309,23.38333333
RAL309,34.95
RAL309,33.13333333
RAL309,30.13333333
RAL309,19.28333333
RAL309,26.1
RAL309,34.15
RAL309,45.7
RAL309,52.91666667
RAL317,26.3
RAL317,29.91666667
RAL317,36.98333333
RAL317,32.68333333
RAL317,17.85
RAL317,31.55
RAL317,26
RAL317,32.4
RAL317,30.81666667
RAL317,28.5
RAL317,20.06666667
RAL317,26.9
RAL317,27.41666667
RAL317,26.4
RAL317,16.3
RAL317,45.01666667
RAL318,32.88333333
RAL318,35.01666667
RAL318,34.45
RAL318,32.36666667
RAL318,42.58333333
RAL318,51.66666667
RAL318,29.46666667
RAL318,30.86666667
RAL318,34.25
RAL318,42.43333333
RAL318,42.46666667
RAL318,39.06666667
RAL318,35.73333333
RAL318,52
RAL318,36
RAL318,45.45
RAL332,53.3
RAL332,46.45
RAL332,37.81666667
RAL332,45.66666667
RAL332,46.66666667
RAL332,45.7
RAL332,43.56666667
RAL332,46.55
RAL332,39.46666667
RAL332,34.95
RAL332,40.4
RAL332,45.25
RAL332,48.33333333
RAL332,39.76666667
RAL336,36.63333333
RAL336,38.61666667
RAL336,21.7
RAL336,36.75
RAL336,42.13333333
RAL336,31.68333333
RAL336,28.83333333
RAL336,51.36666667
RAL336,24.78333333
RAL336,17.88333333
RAL336,29.85
RAL336,38.48333333
RAL336,31.66666667
RAL336,21.08333333
RAL336,31.25
RAL336,23.33333333
RAL338,39.73333333
RAL338,49.26666667
RAL338,42.36666667
RAL338,47.31666667
RAL338,24.4
RAL338,37.21666667
RAL338,33.38333333
RAL338,44.93333333
RAL338,41.81666667
RAL338,45.11666667
RAL338,42.6
RAL340,50.06666667
RAL340,45.58333333
RAL340,35.05
RAL340,55.03333333
RAL340,50.93333333
RAL340,66.9
RAL340,49.15
RAL340,59.93333333
RAL340,45.45
RAL340,52.91666667
RAL340,36.7
RAL340,51.61666667
RAL340,39.4
RAL340,53.11666667
RAL340,34.8
RAL340,65.83333333
RAL350,74.58333333
RAL350,69.13333333
RAL350,78.81666667
RAL350,82.58333333
RAL350,85.08333333
RAL350,68.36666667
RAL350,50.63333333
RAL350,75.75
RAL350,52.71666667
RAL350,45.05
RAL350,85.95
RAL350,70.98333333
RAL350,63.95
RAL350,93.55
RAL350,59.48333333
RAL350,94.61666667
RAL352,38
RAL352,21.93333333
RAL352,54.83333333
RAL352,20.95
RAL352,43.96666667
RAL352,24.73333333
RAL352,30.56666667
RAL352,48.73333333
RAL352,57.6
RAL352,25.68333333
RAL352,32.38333333
RAL352,38.78333333
RAL352,49.2
RAL352,38.63333333
RAL352,25.96666667
RAL352,21.13333333
RAL356,41.6
RAL356,26.5
RAL356,15.85
RAL356,18.65
RAL356,19.43333333
RAL356,30.51666667
RAL356,34.18333333
RAL356,45.68333333
RAL356,40.51666667
RAL356,39.48333333
RAL356,23.63333333
RAL356,32.06666667
RAL356,31.11666667
RAL356,29.9
RAL356,32.16666667
RAL356,26.35
RAL359,41.66666667
RAL359,75.03333333
RAL359,32.88333333
RAL359,35.76666667
RAL359,52.88333333
RAL359,53
RAL359,57.83333333
RAL359,63.56666667
RAL359,70.98333333
RAL359,56.4
RAL359,37.41666667
RAL359,74.75
RAL359,49.9
RAL359,72.85
RAL359,73.18333333
RAL359,54.76666667
RAL361,23.08333333
RAL361,62.63333333
RAL361,18.88333333
RAL361,27.71666667
RAL361,24.15
RAL361,26.95
RAL361,50.61666667
RAL361,34.63333333
RAL361,39.11666667
RAL361,33.08333333
RAL361,48.76666667
RAL361,36.25
RAL361,42.36666667
RAL361,59.16666667
RAL361,30.61666667
RAL361,31.93333333
RAL367,34.7
RAL367,22.38333333
RAL367,24.6
RAL367,85.36666667
RAL367,25.93333333
RAL367,41.71666667
RAL367,32.28333333
RAL367,44.98333333
RAL367,28.81666667
RAL367,39.5
RAL367,50.55
RAL367,40.85
RAL367,38.1
RAL367,29.63333333
RAL367,33.71666667
RAL367,32.05
RAL370,62.93333333
RAL370,49.46666667
RAL370,33.25
RAL370,51.65
RAL370,57.9
RAL370,46.58333333
RAL370,47.25
RAL370,68.31666667
RAL370,56.33333333
RAL370,84.63333333
RAL370,52.01666667
RAL370,52.66666667
RAL370,46.36666667
RAL370,61.68333333
RAL370,47.1
RAL370,48.41666667
RAL371,24.46666667
RAL371,32.36666667
RAL371,32.51666667
RAL371,34.16666667
RAL371,29.23333333
RAL371,23.46666667
RAL371,28.15
RAL371,33.26666667
RAL371,25.93333333
RAL371,18.55
RAL371,26.15
RAL371,34.33333333
