Block,Day,Assay,Chamber,Line,Subject,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,SUM,no_move,move,orient_female,approach,wing,genital_lick,attempt_cop,copulate,sum_court,sum_copulate
3,31,3,10,280,4,2,7,5,1,7,5,3,1,2,5,5,7,2,1,2,2,6,2,4,4,5,5,5,6,4,5,5,5,1,2,116,4,7,1,3,10,2,3,0,15,3
3,30,2,7,287,3,1,4,2,2,2,2,2,2,2,6,1,7,1,1,1,1,1,1,4,2,6,2,5,5,5,5,5,6,5,5,94,8,9,0,2,7,3,1,0,11,1
3,39,2,8,287,10,1,2,2,3,6,5,5,5,6,6,6,3,3,6,5,5,2,5,6,6,5,6,5,5,1,5,5,5,6,5,136,2,3,3,0,13,9,0,0,22,0
3,35,1,6,287,6,2,2,2,2,1,2,5,5,5,5,5,5,5,6,3,5,1,1,5,7,6,5,5,6,5,5,5,5,6,7,129,3,5,1,0,15,4,2,0,21,2
1,3,4,5,301,3,1,2,2,2,2,2,2,4,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,44,18,11,0,1,0,0,0,0,0,0
1,10,3,1,301,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,60,0,30,0,0,0,0,0,0,0,0
1,5,2,7,301,5,2,2,2,2,2,3,6,2,2,2,2,2,2,2,2,6,2,2,2,2,5,2,2,2,2,6,3,5,3,5,84,0,21,3,0,3,3,0,0,6,0
1,7,3,2,303,7,2,1,1,3,2,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,40,21,8,1,0,0,0,0,0,0,0
1,9,4,6,303,9,2,2,2,2,5,2,2,2,1,2,2,5,2,2,2,2,5,4,5,4,2,2,5,5,2,2,2,1,2,1,79,3,19,0,2,6,0,0,0,6,0
1,5,4,7,303,5,2,2,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,2,1,5,5,5,5,5,3,5,5,70,12,10,1,0,7,0,0,0,7,0
1,12,3,7,304,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,29,1,0,0,0,0,0,0,0,0
