line,Sex,Lifespan_hrs
RAL-217,Female,149.983333
RAL-217,Female,162.95
RAL-217,Female,173.641667
RAL-217,Female,188.991667
RAL-217,Female,198
RAL-217,Female,210.316667
RAL-217,Female,220.666667
RAL-217,Female,232.658333
RAL-217,Female,256.525
RAL-426,Male,113.95
RAL-426,Male,113.95
RAL-426,Male,125.091667
RAL-426,Male,136.983333
RAL-426,Male,136.983333
RAL-426,Male,150.008333
RAL-908,Male,125.058333
RAL-908,Male,125.058333
RAL-908,Male,136.95
RAL-908,Male,136.95
RAL-908,Male,136.95
RAL-908,Male,136.95
RAL-908,Male,136.95
RAL-908,Male,136.95
RAL-908,Male,149.975
RAL-908,Male,162.933333
RAL-379,Female,64.7916667
RAL-379,Female,188.866667
RAL-379,Female,210.191667
RAL-379,Female,210.191667
RAL-379,Female,210.191667
RAL-379,Female,220.533333
RAL-379,Female,232.533333
RAL-379,Female,244.45
RAL-379,Female,280.266667
RAL-379,Female,292.233333
RAL-385,Female,136.958333
RAL-385,Female,136.958333
RAL-385,Female,136.958333
RAL-385,Female,149.983333
RAL-385,Female,149.983333
RAL-385,Female,149.983333
RAL-385,Female,162.95
RAL-385,Female,162.95
RAL-385,Female,173.65
RAL-812,Female,162.966667
RAL-812,Female,162.966667
RAL-812,Female,162.966667
RAL-812,Female,173.658333
RAL-812,Female,189.008333
RAL-812,Female,189.008333
RAL-812,Female,189.008333
RAL-812,Female,202.125
RAL-812,Female,244.591667
RAL-812,Female,256.541667
RAL-365,Male,52.6916667
RAL-365,Male,76.5166667
RAL-365,Male,76.5166667
RAL-365,Male,76.5166667
RAL-365,Male,76.5166667
RAL-365,Male,76.5166667
RAL-365,Male,88.525
RAL-365,Male,88.525
RAL-365,Male,124.983333
RAL-365,Male,124.983333
RAL-426,Female,125.091667
RAL-426,Female,136.991667
RAL-426,Female,150.033333
RAL-426,Female,150.033333
RAL-426,Female,150.033333
RAL-426,Female,162.975
RAL-426,Female,162.975
RAL-426,Female,162.975
RAL-426,Female,173.666667
RAL-426,Female,173.666667
RAL-256,Male,76.55
RAL-256,Male,76.55
RAL-256,Male,88.55
RAL-256,Male,88.55
RAL-256,Male,88.55
RAL-256,Male,101.833333
RAL-256,Male,101.833333
RAL-256,Male,113.85
RAL-256,Male,113.85
RAL-91,Female,125.1
RAL-91,Female,125.1
RAL-91,Female,136.991667
RAL-91,Female,136.991667
RAL-91,Female,136.991667
RAL-91,Female,136.991667
RAL-91,Female,150.016667
RAL-91,Female,162.983333
RAL-91,Female,162.983333
RAL-91,Female,173.675
RAL-589,Male,88.7166667
RAL-589,Male,125.158333
RAL-589,Male,137.058333
RAL-589,Male,137.058333
RAL-589,Male,137.058333
RAL-589,Male,137.058333
RAL-589,Male,137.058333
RAL-589,Male,150.091667
RAL-589,Male,150.091667
RAL-589,Male,150.091667
RAL-589,Male,163.041667
RAL-732,Female,136.866667
RAL-732,Female,136.866667
RAL-732,Female,149.891667
RAL-732,Female,149.891667
RAL-732,Female,149.891667
RAL-732,Female,162.833333
RAL-732,Female,162.833333
RAL-732,Female,162.833333
RAL-732,Female,173.525
RAL-732,Female,188.85
RAL-882,Male,88.5666667
RAL-882,Male,101.858333
RAL-882,Male,101.858333
RAL-882,Male,101.858333
RAL-882,Male,101.858333
RAL-882,Male,101.858333
RAL-882,Male,101.858333
RAL-882,Male,113.883333
RAL-882,Male,113.883333
RAL-882,Male,113.883333
RAL-589,Female,163.05
RAL-589,Female,189.058333
RAL-589,Female,198.075
RAL-589,Female,202.2
RAL-589,Female,202.2
RAL-589,Female,202.2
RAL-589,Female,202.2
RAL-589,Female,210.408333
RAL-589,Female,210.408333
RAL-589,Female,220.75
RAL-443,Male,88.725
RAL-443,Male,88.725
RAL-443,Male,102.016667
RAL-443,Male,102.016667
RAL-443,Male,102.016667
RAL-443,Male,114.041667
RAL-443,Male,114.041667
