Line,Sex,T1_T2,Expt,Vial,Fly,Femur,Tibia,Tarsus,Total,pc_fe,pc_ti,pc_ta
line_105,M,T2,expt_55,vial_2,fly_1,85.7,99.4,120.5,305.6,28.04319372,32.52617801,39.43062827
line_105,M,T2,expt_55,vial_2,fly_3,85.3,94.9,117.4,297.6,28.66263441,31.88844086,39.44892473
line_105,M,T2,expt_55,vial_1,fly_2,85.3,98.2,118.9,302.4,28.20767196,32.47354497,39.31878307
line_105,M,T2,expt_55,vial_2,fly_2,84.9,96.3,119.8,301,28.20598007,31.99335548,39.80066445
line_105,M,T2,expt_55,vial_3,fly_2,84.5,95.4,116.9,296.8,28.4703504,32.14285714,39.38679245
line_105,M,T2,expt_55,vial_1,fly_1,80.2,90.5,112.2,282.9,28.34924001,31.99010251,39.66065748
line_105,M,T2,expt_55,vial_3,fly_1,78.9,89.4,108.8,277.1,28.47347528,32.26272104,39.26380368
line_109,F,T2,expt_55,vial_2,fly_3,94.1,107,112.2,313.3,30.03511012,34.15256942,35.81232046
line_109,F,T2,expt_55,vial_4,fly_1,94.7,104.7,108.1,307.5,30.79674797,34.04878049,35.15447155
line_109,F,T2,expt_55,vial_3,fly_2,95.5,106.3,116.7,318.5,29.98430141,33.37519623,36.64050236
line_109,F,T2,expt_55,vial_3,fly_3,93.4,104.8,116.8,315,29.65079365,33.26984127,37.07936508
line_109,F,T2,expt_55,vial_3,fly_1,93.1,105.5,114.1,312.7,29.77294532,33.73840742,36.48864727
line_109,F,T2,expt_55,vial_4,fly_3,92.8,101.2,112.6,306.6,30.26744945,33.00717547,36.72537508
line_109,F,T2,expt_55,vial_2,fly_1,92.6,103.8,104.7,301.1,30.75390236,34.47359681,34.77250083
line_109,F,T2,expt_55,vial_4,fly_2,92.5,102.2,108.9,303.6,30.46772069,33.6627141,35.86956522
line_109,F,T2,expt_55,vial_2,fly_2,92.5,103.6,112.7,308.8,29.95466321,33.5492228,36.49611399
line_109,F,T2,expt_55,vial_1,fly_2,92,103.2,112.2,307.4,29.92843201,33.5718933,36.49967469
line_109,F,T2,expt_55,vial_1,fly_3,91.9,102.6,112.6,307.1,29.92510583,33.40931293,36.66558124
line_109,M,T2,expt_55,vial_3,fly_3,90.3,102,115.2,307.5,29.36585366,33.17073171,37.46341463
