Trait,R_diff,sd,2.5%,97.5%,Trait_Sex
FBgn0039417,-0.146896965,0.12460417489581539,-0.387594875,0.10315914999999991,Female
FBgn0039419,0.17753075000000001,0.12340901315124206,-0.06641881499999996,0.4130660749999998,Female
FBgn0039420,0.001294499999999997,0.128500094551219,-0.25332194249999995,0.2484222075,Female
FBgn0039421,-0.042644549999999996,0.12361612161151203,-0.27966045749999996,0.1978933025,Female
FBgn0039424,-0.09395275,0.12778555933581354,-0.34075044250000003,0.16115860497499998,Female
FBgn0039425,0.050319069999999994,0.12359995435748555,-0.19705722249999996,0.28532103499999983,Female
FBgn0039427,-0.0013698000000000026,0.12566457981399592,-0.25165968000000005,0.24518714749999976,Female
FBgn0039428,-0.0411631,0.13196086575717958,-0.29731840000000004,0.21277361749999993,Female
FBgn0039429,0.0780141,0.12383911343141446,-0.16925165,0.3189356374999999,Female
FBgn0039430,0.2164493,0.12575946489800435,-0.0390905,0.4584972925,Female
FBgn0039431,0.08777689999999999,0.1289757125527899,-0.167800455,0.33886837249999996,Female
FBgn0039434,-0.1360375,0.12443105246572782,-0.37679385,0.10496241249999984,Female
FBgn0039435,0.035146825,0.1276098026872891,-0.21040554250000001,0.2854899499999999,Female
FBgn0039436,0.03133964999999999,0.12301036671947313,-0.21194118,0.2735581525,Female
FBgn0039437,0.03387125,0.1228325901004008,-0.20487258174999998,0.2684746699999999,Female
FBgn0039438,-0.08803775,0.12691265070197952,-0.33443166250000006,0.16265705649999998,Female
FBgn0039439,-0.006054550000000009,0.1283584784364709,-0.2610706,0.24371603925000002,Female
FBgn0039440,-0.1282891,0.12552587981053145,-0.36832347,0.12159523999999992,Female
FBgn0039441,-0.015443936499999998,0.1286637793563209,-0.265839895,0.23436661499999997,Female
FBgn0039443,0.020348650000000006,0.12634344266943517,-0.226501475,0.2677835224999998,Female
FBgn0039444,0.0834028,0.1248067217125101,-0.16441581374999997,0.32683667499999997,Female
FBgn0039448,-0.039985405,0.1291225434183118,-0.292765575,0.21429591499999998,Female
FBgn0039449,0.0933605,0.12615690158208248,-0.15548869249999997,0.33704361999999977,Female
FBgn0039450,0.11110587999999999,0.1304038502295217,-0.1457481,0.36172072499999997,Female
FBgn0039451,-0.006862449999999999,0.12656441487546372,-0.257979065,0.24338184249999995,Female
FBgn0039452,0.22293815,0.12345764179277957,-0.022660139999999995,0.4598503199999999,Female
FBgn0039453,-0.09442185,0.12609685894648187,-0.344617315,0.15017110974999998,Female
FBgn0039454,0.09651945,0.1313801285585208,-0.16424738250000004,0.35589516249999986,Female
FBgn0039459,-0.034795900000000005,0.12666475800439944,-0.2831432725,0.21234903249999998,Female
FBgn0039461,-0.012638800000000002,0.12692666263906088,-0.258131605,0.24025293249999993,Female
FBgn0039462,0.11156755000000002,0.12858710740545096,-0.1412351605,0.3539922999999999,Female
FBgn0039463,-0.07245009999999999,0.1279225712607906,-0.324039745,0.17746371749999992,Female
FBgn0039464,0.26526735,0.12343968402070712,0.01953037175000001,0.5062683749999999,Female
FBgn0039465,-0.06573799999999999,0.1287951954392904,-0.31805861,0.18674065249999974,Female
FBgn0039466,-0.01218066,0.1268700484599595,-0.256922675,0.2413363375,Female
FBgn0039467,0.09089485,0.12715125582030132,-0.15632721749999998,0.33918732249999983,Female
FBgn0039469,0.1825449,0.12560990239343273,-0.061629272500000006,0.4264221999999999,Female
FBgn0039470,0.034260599999999995,0.12609740344539658,-0.21644947999999997,0.28548797249999996,Female
FBgn0039471,0.23783685000000002,0.12547747225919204,-0.01259793525,0.480271025,Female
FBgn0039472,0.2590897,0.12467193774277803,0.013323795000000013,0.50282455,Female
FBgn0039473,0.2020814,0.1237885940172917,-0.040276969999999954,0.44081422499999995,Female
FBgn0039474,-0.0884095,0.12208423016538171,-0.32561741949999995,0.15777047749999976,Female
FBgn0039475,-0.091041465,0.12464456522906554,-0.33251032999999997,0.15619529749999989,Female
FBgn0039476,0.0893558,0.12622054701288507,-0.16261865749999999,0.3315215999999998,Female
FBgn0039478,0.01354765,0.12737019812848552,-0.2337692975,0.25942999999999994,Female
FBgn0039479,0.053379399999999994,0.12862438902056833,-0.19912293749999999,0.30066884999999993,Female
FBgn0039480,0.10670625,0.12411770876643183,-0.13523955999999998,0.34507445999999986,Female
FBgn0039481,0.1329512,0.12723580193282696,-0.12556348,0.3815180625,Female
FBgn0039482,-0.03038197,0.12376398912587042,-0.27423376425,0.21090496499999986,Female
FBgn0039483,0.08403309,0.12680045659067646,-0.16955419,0.3264736749999999,Female
FBgn0039485,0.13984875,0.1230490359672312,-0.10575319500000001,0.3754314249999999,Female
FBgn0039486,0.09161404999999999,0.12373346831867106,-0.14812571250000003,0.32992063749999995,Female
FBgn0039487,-0.13225255,0.13066203297050422,-0.38883817499999995,0.12331131249999998,Female
FBgn0039488,-0.0491441,0.12638205320460008,-0.29846308,0.19979263849999998,Female
FBgn0039489,-0.024442396499999998,0.12901919937940745,-0.27687878499999996,0.2335318549999999,Female
FBgn0039490,-0.04159325,0.1264929538225653,-0.29160500749999996,0.20920767499999998,Female
FBgn0039491,0.0697274,0.12404985240717549,-0.16960512499999994,0.315149375,Female
FBgn0039492,-0.058556185,0.12630131983323797,-0.30676950500000005,0.19099981249999998,Female
FBgn0039494,0.1637805,0.1246132245950311,-0.077945025,0.4051915249999999,Female
FBgn0039495,0.22613719999999998,0.12639079077406296,-0.02843655250000001,0.46686882499999993,Female
FBgn0039498,-0.10351905,0.125251996919662,-0.35143122499999996,0.14429328499999997,Female
FBgn0039500,-0.013768699999999997,0.12993601525096135,-0.26487021499999996,0.24484757749999997,Female
FBgn0039501,0.06742100000000001,0.12877407511336134,-0.18765873,0.31551399999999996,Female
FBgn0039503,-0.16972715,0.1271331265330017,-0.4197821,0.07938044,Female
FBgn0039504,-0.010484,0.1320241920111359,-0.26530578,0.2446708045,Female
FBgn0039505,0.040811375,0.12411041049393728,-0.2042086535,0.28162619249999965,Female
FBgn0039507,-0.0943129,0.1329184856341948,-0.35509345999999997,0.16726945499999987,Female
FBgn0039508,0.0015675000000000133,0.12275129016462541,-0.23891152424999998,0.24102126,Female
FBgn0039509,-0.015956245,0.12704489992959814,-0.26163661,0.236365558,Female
FBgn0039510,-0.014980799999999999,0.12213875963659303,-0.25083376537499996,0.2238790549999999,Female
FBgn0039511,0.003441400000000004,0.12385334332717368,-0.24162550749999998,0.24486307999999948,Female
FBgn0039518,0.09059465,0.12562995970434973,-0.1569690025,0.33294852,Female
FBgn0039519,0.1078248,0.12258245532669601,-0.13486910249999998,0.34638457999999994,Female
FBgn0039520,-0.13008265,0.12454946815353615,-0.368901725,0.12130775499999996,Female
FBgn0039521,0.100806335,0.1248817877967673,-0.14348184500000002,0.3425115999999999,Female
FBgn0039522,-0.03605599999999999,0.12377914566321474,-0.27504337,0.21295457924999997,Female
FBgn0039523,5.563850000000004e-4,0.12957047562363141,-0.24593113699999997,0.2577975424999999,Female
FBgn0039525,0.082805575,0.12455201568450294,-0.16522741,0.32118407499999996,Female
FBgn0039527,-0.08722799999999999,0.12749824936722828,-0.33673271,0.16266019964999986,Female
FBgn0039528,-0.106266465,0.1270164486507312,-0.35701897250000003,0.14300316249999975,Female
FBgn0039529,0.159418715,0.12756486616919774,-0.08883532999999999,0.4115497449999999,Female
FBgn0039530,-0.0565098,0.12673142885751978,-0.298292246625,0.1960578649999999,Female
FBgn0039531,-0.0990209,0.1246619789893299,-0.3417365225,0.14501711249999985,Female
FBgn0039532,0.1417814,0.12312855934757358,-0.10261209,0.37660641,Female
FBgn0039536,0.1452809,0.12839507935246539,-0.10959942999999998,0.39042709999999997,Female
FBgn0039537,0.033707,0.1257831561367676,-0.2190317525,0.27924632849999986,Female
FBgn0039538,-0.057372,0.12907279276642594,-0.30797216,0.20091457999999926,Female
FBgn0039543,0.186420445,0.12545675131592102,-0.068090135,0.42918385,Female
FBgn0039544,-0.18085790000000002,0.1254485953696594,-0.42445295,0.0684251874999999,Female
FBgn0039551,-0.049681665,0.12755582720981243,-0.2966771125,0.204272215,Female
FBgn0039552,0.025883050000000005,0.12655597964741483,-0.2207515225,0.2758989375,Female
FBgn0039554,-0.1411536,0.12843072276116455,-0.385489375,0.1142250072499998,Female
FBgn0039555,-0.08864179999999999,0.12649416241071892,-0.3313915325,0.168354915,Female
FBgn0039557,0.059276325,0.12807451146118337,-0.19038741149999996,0.3116476625,Female
FBgn0039558,0.1855545,0.12489590587008544,-0.06499384,0.42740702499999983,Female
FBgn0039559,-0.053696049999999995,0.12408440068272578,-0.29284804249999996,0.18849376499999998,Female
FBgn0039560,-0.1454625,0.12539612081671914,-0.38809741999999997,0.10438485749999991,Female
FBgn0039561,-0.0528905,0.12472251270101001,-0.29886388249999996,0.18712125999999993,Female
FBgn0039562,-0.026760849999999996,0.12455568023528472,-0.26967611,0.22571681249999992,Female
FBgn0039563,-0.03172449999999999,0.12702806018923404,-0.28467323350000007,0.21774557449999993,Female
FBgn0039564,-0.03170445,0.12679185170539622,-0.281091245,0.21761130499999987,Female
FBgn0039565,-0.12092960000000001,0.12281087295923059,-0.3629719675,0.11799811749999997,Female
FBgn0039566,-0.2185025,0.12605979359216746,-0.454207625,0.03406528199999979,Female
FBgn0039568,-0.138491725,0.12673978281100767,-0.389462075,0.11159448199999984,Female
FBgn0039576,-0.07103095,0.1277705739812283,-0.3207828075,0.17844391249999988,Female
FBgn0039577,0.0731654,0.12646039799821482,-0.1758029175,0.32115672749999996,Female
FBgn0039580,-0.09450855,0.1261183791828418,-0.33702381249999996,0.1522843449999999,Female
FBgn0039581,-0.14331475000000002,0.1285103820886214,-0.397002225,0.11187497677499982,Female
FBgn0039582,-0.1973389,0.12181265284249765,-0.42868092,0.04529901099999975,Female
FBgn0039584,-0.12520795,0.1270945382230746,-0.37167364999999997,0.13002824999999998,Female
FBgn0039585,0.12147354999999999,0.12323152114816095,-0.1241125125,0.3649391999999999,Female
FBgn0039588,-0.21630605,0.12242897744369846,-0.4528074,0.03070139749999995,Female
