Trait,R_overall,sd,2.5%,97.5%,Trait_Sex
FBgn0010238,0.079127525,0.06457841563683617,-0.05334192124999999,0.19947564999999984,Female
FBgn0010240,-0.05486165,0.06475034496591527,-0.18215624999999996,0.07321143737499995,Female
FBgn0010241,-0.0527549,0.06297865628983679,-0.17430181375,0.07312173512499995,Female
FBgn0010246,-0.009283574999999999,0.06121094241973125,-0.12995919625000002,0.10823773749999999,Female
FBgn0010247,0.0753759225,0.06578294132159636,-0.058846051249999996,0.2013839799999999,Female
FBgn0010258,-0.09647686,0.06254345217007376,-0.21460967500000003,0.030519556249999916,Female
FBgn0010263,-0.06491365,0.06270493651606916,-0.187054275,0.05926700624999999,Female
FBgn0010265,-0.068811275,0.06359223771768695,-0.19090606249999997,0.05698555499999995,Female
FBgn0010269,-0.03262635,0.0652592594648475,-0.157320025,0.09427167624999998,Female
FBgn0010278,0.005413649999999997,0.06380695404400165,-0.12004098875000001,0.12834051999999999,Female
FBgn0010280,0.06081366,0.06387936293610211,-0.0677813310625,0.183347825,Female
FBgn0010282,-0.0029950800000000002,0.06409035693724213,-0.12755747250000002,0.12354944125,Female
FBgn0010287,-0.068759700000000007,0.0637130219308988,-0.19368274249999998,0.056597156749999954,Female
FBgn0010288,0.008403325,0.06320284143706628,-0.114921121625,0.13279650374999996,Female
FBgn0010292,-0.116015175,0.06096478101205513,-0.23266347874999999,0.006506599999999959,Female
FBgn0010294,-0.068917825,0.06411588405885639,-0.19320256249999998,0.05860174749999992,Female
FBgn0010295,-0.0891520675,0.06160202966932846,-0.20934976249999998,0.02964060374999996,Female
FBgn0010296,-9.72550000000006e-4,0.06245713425953801,-0.12330796125000001,0.1229088525,Female
FBgn0010300,-0.006793824999999996,0.06311291482769517,-0.12765668374999997,0.11655664999999982,Female
FBgn0010303,-0.005987424999999998,0.06362411222429133,-0.12868810625,0.11806728499999998,Female
FBgn0010309,-0.04567455000000001,0.06380547598761367,-0.16889089999999998,0.08104504124999999,Female
FBgn0010313,0.022367375000000002,0.062065874142739764,-0.10394328125,0.14353690375,Female
FBgn0010314,-0.0189938,0.0623597504230244,-0.14284701875,0.10070703624999995,Female
FBgn0010315,-0.009064424999999997,0.06290073492901924,-0.1339620125,0.11251834249999997,Female
FBgn0010316,0.022293149999999998,0.06311777048506095,-0.10356888874999999,0.1438841175,Female
FBgn0010317,-0.006454700000000001,0.06408613055583767,-0.13114263375,0.12188202499999996,Female
FBgn0010323,-0.015364974999999998,0.06419786675676949,-0.14038395137499998,0.11303415499999994,Female
FBgn0010328,-0.0576802025,0.0620954204193018,-0.17758198875,0.06543790624999994,Female
FBgn0010333,0.0337616,0.06307679054661483,-0.09104221874999999,0.15536628749999995,Female
FBgn0010339,0.0029705500000000024,0.06224209785380714,-0.12087563374999999,0.1239880637499998,Female
FBgn0010340,7.997749999999991e-4,0.06327704687182391,-0.1218079975,0.12425726374999999,Female
FBgn0010341,0.014659495000000002,0.060923769813813915,-0.10633404125,0.13523338375,Female
FBgn0010342,0.018890399999999998,0.06434269388590888,-0.10715737,0.14394674875,Female
FBgn0010348,0.025521625,0.06300201024148094,-0.09931443999999999,0.14711693624999994,Female
FBgn0010350,0.0125261,0.06306211167133524,-0.11169703875,0.13245249749999996,Female
FBgn0010352,-0.01947220000000001,0.06348096807196188,-0.14301898999999998,0.10307182124999997,Female
FBgn0010355,0.021332024999999998,0.06107540544212361,-0.09684655874999999,0.14059787499999993,Female
