DGRP_lines,Experiment,Sample.size,Delta_Death.at.48h,Delta_Alive.at.48h
line_370,Exp 3,17,17,0
line_367,Exp 3,20,20,0
line_365,Exp 3,18,10,8
line_362,Exp 3,18,6,12
line_361,Exp 3,2,2,0
line_360,Exp 3,6,3,3
line_359,Exp 3,21,21,0
line_358,Exp 3,19,9,10
line_357,Exp 3,19,18,1
line_356,Exp 3,18,18,0
line_355,Exp 3,10,10,0
line_354,Exp 3,12,11,1
line_352,Exp 3,10,4,6
line_350,Exp 3,19,5,14
line_348,Exp 3,19,19,0
line_340,Exp 3,19,19,0
line_338,Exp 3,20,20,0
line_336,Exp 3,19,19,0
line_335,Exp 3,15,15,0
line_332,Exp 3,20,16,4
line_324,Exp 3,20,20,0
line_321,Exp 3,19,12,7
line_320,Exp 3,20,0,20
line_319,Exp 3,9,9,0
line_318,Exp 3,16,16,0
line_317,Exp 3,20,7,13
line_315,Exp 3,8,8,0
line_313,Exp 3,13,1,12
line_310,Exp 3,9,7,2
line_309,Exp 3,18,18,0
line_307,Exp 3,,,
line_306,Exp 3,17,0,17
line_304,Exp 3,,,
line_303,Exp 3,12,12,0
line_301,Exp 3,18,15,3
line_287,Exp 3,19,18,1
line_280,Exp 3,19,19,0
line_256,Exp 3,11,11,0
line_239,Exp 3,14,14,0
line_237,Exp 3,19,19,0
line_235,Exp 3,17,16,1
line_233,Exp 3,11,9,2
line_229,Exp 3,19,18,1
line_228,Exp 3,15,15,0
line_227,Exp 3,7,7,0
line_223,Exp 3,,,
line_217,Exp 3,20,20,0
line_208,Exp 3,20,10,10
line_195,Exp 3,19,19,0
line_189,Exp 3,20,11,9
line_181,Exp 3,19,17,2
line_177,Exp 3,18,18,0
line_176,Exp 3,,,
line_161,Exp 3,6,6,0
line_158,Exp 3,17,12,5
line_153,Exp 3,20,20,0
line_149,Exp 3,18,9,9
line_142,Exp 3,10,10,0
line_138,Exp 3,15,0,15
line_136,Exp 3,18,14,4
line_129,Exp 3,20,20,0
line_109,Exp 3,9,8,1
line_105,Exp 3,19,19,0
line_101,Exp 3,7,7,0
line_100,Exp 3,18,18,0
line_93,Exp 3,19,19,0
line_91,Exp 3,19,19,0
line_88,Exp 3,4,4,0
line_85,Exp 3,6,6,0
line_83,Exp 3,11,8,3
line_75,Exp 3,13,13,0
line_73,Exp 3,14,13,1
line_69,Exp 3,18,18,0
line_59,Exp 3,19,19,0
line_57,Exp 3,18,17,1
line_48,Exp 3,16,16,0
line_45,Exp 3,18,18,0
line_42,Exp 3,18,18,0
line_41,Exp 3,20,20,0
line_40,Exp 3,19,16,3
line_38,Exp 3,20,17,3
line_32,Exp 3,20,20,0
line_31,Exp 3,21,20,1
line_28,Exp 3,,,
line_26,Exp 3,,,
line_21,Exp 3,,,
line_913,Exp 4,19,0,19
line_911,Exp 4,19,18,1
line_908,Exp 4,38,38,0
line_907,Exp 4,19,6,13
line_900,Exp 4,19,19,0
line_897,Exp 4,14,3,11
line_894,Exp 4,36,36,0
line_892,Exp 4,20,19,1
line_890,Exp 4,20,20,0
line_887,Exp 4,18,18,0
line_884,Exp 4,5,5,0
line_882,Exp 4,20,8,12
line_879,Exp 4,20,1,19
line_861,Exp 4,20,20,0
line_859,Exp 4,20,19,1
line_857,Exp 4,16,13,3
line_855,Exp 4,19,19,0
line_853,Exp 4,19,18,1
line_852,Exp 4,,,
line_850,Exp 4,21,21,0
line_849,Exp 4,19,8,11
line_843,Exp 4,19,10,9
line_837,Exp 4,29,10,19
line_832,Exp 4,20,14,6
line_822,Exp 4,20,16,4
line_821,Exp 4,20,14,6
line_820,Exp 4,19,19,0
